RouteID,RouteName,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,RouteLength,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,DailyRides,WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership
13459,459.0,דן בדרום,צפון הנגב,בין מחוזי,אשדוד,ירושלים,בינעירוני,ישיר,סדיר,69.1,0.1,23.0,47.6,87.1,0.0,6.0,0.0,20.9,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,שישי - 12:00-14:59
13459,459.0,דן בדרום,צפון הנגב,בין מחוזי,ירושלים,אשדוד,בינעירוני,ישיר,סדיר,68.6,0.1,23.0,55.54,74.11,0.0,15.0,0.0,54.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,שבת - 19:00-23:59
13459,459.0,דן בדרום,צפון הנגב,בין מחוזי,אשדוד,ירושלים,בינעירוני,ישיר,סדיר,69.1,0.1,23.0,47.92,86.52,0.0,6.0,0.0,31.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,שבת - 19:00-23:59
13459,459.0,דן בדרום,צפון הנגב,בין מחוזי,ירושלים,אשדוד,בינעירוני,ישיר,סדיר,68.6,0.0,23.0,53.42,77.05,0.0,17.0,0.0,54.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,שבת - 19:00-23:59
13461,461.0,גלים,רהט והנגב המערבי,הדרום,ערערה בנגב,אשקלון,בינעירוני,מאסף,סדיר,113.1,0.3,59.0,65.95,102.9,1.0,5.0,30.2,151.0,30.2,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 04:00-05:59
13461,461.0,גלים,רהט והנגב המערבי,הדרום,אשקלון,ערערה בנגב,בינעירוני,מאסף,סדיר,112.8,0.1,58.0,64.11,105.57,1.0,5.0,16.0,80.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 15:00-18:59
13461,461.0,גלים,רהט והנגב המערבי,הדרום,ערערה בנגב,אשקלון,בינעירוני,מאסף,סדיר,113.1,0.1,59.0,65.68,103.32,1.0,5.0,16.0,80.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 04:00-05:59
13461,461.0,גלים,רהט והנגב המערבי,הדרום,אשקלון,ערערה בנגב,בינעירוני,מאסף,סדיר,112.8,0.1,58.0,65.13,103.92,1.0,5.0,7.6,38.0,7.6,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 15:00-18:59
13462,462.0,גלים,רהט והנגב המערבי,הדרום,רהט,שער הנגב,בינעירוני,ישיר,סדיר,34.7,0.0,24.0,47.29,44.03,5.0,26.0,5.6,29.5,1.1,0.0,0.0,1.5,0.5,0.6,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,שישי - 06:00-08:59
13462,462.0,גלים,רהט והנגב המערבי,הדרום,שער הנגב,רהט,בינעירוני,ישיר,סדיר,34.3,0.0,21.0,52.54,39.17,6.0,31.0,4.6,23.8,0.8,0.0,0.0,0.0,0.0,0.7,0.7,1.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 19:00-23:59
